"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
41,"Starbucks - Mocha Frappuccino - 15/9.5oz","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/1/2/1200010313.jpg","431608","1200010313","1046","24.85",,,,,,false,
42,"#BAUD ALL BUTR GFT 26.5Z","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","233098","87575401035","123",,"6.97","41.83",6,,,false,
43,"Sorrento - Whole Milk Shredded Mozzarella Cheese - 6/5 lbs","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/4/7403000150.jpg","64944","7403000150","300",,"15.24","91.46",6,,,false,
44,"Bumble Bee- Chunk Light Tuna 5Z SP 24/","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/b/u/bumble_bee_light_tuna.png","9000127","8660000990","3048","29.84",,,,,,true,
45,"Arizona - Fruit Punch - 24/23 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/a/r/arizona_fruit_punch_can_1.png","21154","61300871877","1046","18.06",,,,,,false,
46,"Crush- Pineapple Soda - 24/12 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/_/3/.30.png","440546","7800001411","209","10.38",,,,,,false,
47,"Wrigley- Double Mint 5 Stk 40 CT","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/d/o/doublemint.png","1420642","2200029322","","",,,20,,,false,
48,"Libby's - Vienna Sausage - 18/5 oz Can","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/3/9/3900008664.jpg","7000011","3900008664","3068","14.00",,,,,,false,
49,"Evian - Natural Spring Water, 24 Ct, 500 mL","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/e/v/evian24.png","30254","7929816900","4052","28.83",,,,,,false,
50,"Fuji - Bottled Water - 6/700ml","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/6/3/63256500066.png","1220205","63256500066","4056","25.22",,,,,,true,
51,"Celtic - 2-Ply Paper Dinner Napkins","Paper & Disposables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/5/4/5410501015_1.jpg","2280059","5410501015","1046","64.34",,,,,,false,
52,"Golden Tiger - Hi-Gluten Flour - 50 lbs","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","13668","79680035650","4007","24.26",,,,,,false,
53,"CREAM JF 40% UHT 32Z","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","1530297","6069501979","70049",,"7.15","81.53",12,,,false,
54,"Arizona Iced Tea - Strawberry Kiwi - 24/23 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/a/z/az_-_straw_kiwi_can.png","21168","61300873544","1026","18.06",,,,,,false,
55,"Wrigley- Winterfrest 5 Stik 40 CT","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/w/i/winterfesh.png","1420641","2200029328","255",,"12.77","255.38",20,,,false,
56,"PUPPY CHOW COMPLET 30LBS","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","570796","1780010044","4044","36.67",,,,,,false,
57,"Crush - Strawberry Soda - 24/12 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/8/7800001362.jpg","65925","7800001362","209","10.38",,,,,,false,
58,"San Pellegrino - Sparkling Natural Mineral Water - 750 ml, 12 Ct","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/1/4150863446.jpg","1220196","4150863446","4056","29.53",,,,,,true,
59,"Arizona - Watermelon Juice Drink - 24/23 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/a/r/arizona_watermelon_1.png","21158","61300872020","1024","18.06",,,,,,false,
